18,11/3/2019 20:16:07,"O",1,"1",0,
19,11/3/2019 20:27:20,"O",1,"1",0,
6,11/3/2019 20:27:22,"O",1,"1",0,
12,11/3/2019 20:27:28,"O",1,"1",0,
3,11/3/2019 20:27:33,"O",1,"1",0,
34,11/3/2019 20:52:57,"O",1,"1",0,
33,11/3/2019 21:00:54,"O",1,"1",0,
35,11/3/2019 21:01:01,"O",1,"1",0,
30,11/3/2019 21:18:44,"O",1,"1",0,
30,12/3/2019 06:08:37,"I",1,"1",0,
14,12/3/2019 07:38:44,"I",1,"1",0,
13,12/3/2019 07:43:52,"I",1,"1",0,
28,12/3/2019 07:49:10,"I",1,"1",0,
5,12/3/2019 07:52:40,"I",1,"1",0,
1,12/3/2019 07:52:42,"I",1,"1",0,
7,12/3/2019 07:52:44,"I",1,"1",0,
22,12/3/2019 07:57:06,"I",1,"1",0,
11,12/3/2019 08:03:01,"I",1,"1",0,
12,12/3/2019 08:05:35,"I",1,"1",0,
34,12/3/2019 08:10:51,"I",1,"1",0,
37,12/3/2019 08:20:33,"I",1,"1",0,
33,12/3/2019 08:40:46,"I",1,"1",0,
19,12/3/2019 08:53:02,"I",1,"1",0,
35,12/3/2019 09:42:31,"I",1,"1",0,
6,12/3/2019 11:43:23,"I",1,"1",0,
2,12/3/2019 11:55:30,"I",1,"1",0,
3,12/3/2019 12:01:39,"I",1,"1",0,
22,12/3/2019 14:33:01,"I",1,"1",0,
11,12/3/2019 16:03:14,"O",1,"1",0,
1,12/3/2019 16:03:31,"O",1,"1",0,
7,12/3/2019 16:03:34,"O",1,"1",0,
5,12/3/2019 16:03:38,"O",1,"1",0,
13,12/3/2019 20:04:40,"O",1,"1",0,
2,12/3/2019 20:09:31,"O",1,"1",0,
28,12/3/2019 20:16:47,"O",1,"1",0,
6,12/3/2019 20:23:20,"O",1,"1",0,
3,12/3/2019 20:27:44,"O",1,"1",0,
12,12/3/2019 20:30:18,"O",1,"1",0,
21,12/3/2019 20:32:15,"O",1,"1",0,
19,12/3/2019 20:37:04,"O",1,"1",0,
20,12/3/2019 20:37:29,"O",1,"1",0,
34,12/3/2019 20:58:37,"O",1,"1",0,
33,12/3/2019 21:30:27,"O",1,"1",0,
35,12/3/2019 21:32:43,"O",1,"1",0,
30,12/3/2019 21:39:11,"O",1,"1",0,
30,13/3/2019 06:14:16,"I",1,"1",0,
14,13/3/2019 07:34:00,"I",1,"1",0,
13,13/3/2019 07:40:48,"I",1,"1",0,
28,13/3/2019 07:46:53,"I",1,"1",0,
7,13/3/2019 07:51:16,"I",1,"1",0,
5,13/3/2019 07:51:20,"I",1,"1",0,
22,13/3/2019 08:00:31,"I",1,"1",0,
1,13/3/2019 08:06:24,"I",1,"1",0,
